id|year|parl_code|state_code|name|party_code|votes
2160|2008|P184|N41|Datuk Zakaria Mohd Edris (walkover)|UMNO|0
2161|2008|P184|N42|Datuk Seri Musa Aman|UMNO|10570
2162|2008|P184|N42|Ahmad Thamrin Jaini|PKR|2913
2163|2008|P184|N42|Osman Enting|BERSEKUTU|291
2164|2008|P184|N42|Gusmiah Diong|IND|295
2165|2008|P185|N43|Datuk Samsudin Yahya|UMNO|4271
2166|2008|P185|N43|Datuk Nahalan Damsal|PKR|2082
2167|2008|P185|N43|Mansor Mursalin|BERSEKUTU|242
2168|2008|P185|N44|Peter Pang En Yin|LDP|5171
2169|2008|P185|N44|Tan Shu Tee|PKR|452
2170|2008|P185|N44|Chok Kon Tack|DAP|1809
2171|2008|P185|N44|Sak Cheong Yu|IND|1455
2172|2008|P186|N45|Au Kam Wah|SAPP|7919
2173|2008|P186|N45|Samuel Pang|PKR|2510
2174|2008|P186|N46|Datuk Raymond Tan Shu Kiah|SAPP|6418
2175|2008|P186|N46|Teo Yan Boon @ Anthony|DAP|2492
2176|2008|P187|N47|Masiung Banah|UPKO|3784
2177|2008|P187|N47|Abdul Razak Jamil|PKR|1143
2178|2008|P187|N47|Jusing @ Geoffrey Sabran|DAP|105
2179|2008|P187|N47|Mustapa Datu Tambuyong|IND|2112
2180|2008|P187|N47|Duin Bintarang|IND|206
2181|2008|P187|N48|Saddi Abdu Rahman|UMNO|3278
2182|2008|P187|N48|Imran Ibrahim|PAS|76
2183|2008|P187|N48|Ahdah Sulaiman|IND|1171
2184|2008|P187|N48|Jahran Gani|IND|57
2185|2008|P187|N48|Yusof Nasir|IND|19
2186|2008|P187|N48|Abdul Gani Kosui|IND|41
2187|2008|P187|N48|Jakariah Janit|IND|86
2188|2008|P187|N48|Awang @ Pg Roslan Mansah|BERSEKUTU|85
2189|2008|P188|N49|Mohd Suhaili Said|UMNO|4828
2190|2008|P188|N49|Jamal Sulai|PKR|2446
2191|2008|P188|N49|Abdul Raja Abdul Mohamad|IND|164
2192|2008|P188|N50|Datu Nasrun Datu Mansur|UMNO|8034
2193|2008|P188|N50|Zainuddin Zulkarnain Yong|PKR|4976
2194|2008|P188|N51|Nilwan Kaban|UMNO|5083
2195|2008|P188|N51|Bedu Kudosat|PKR|968
2196|2008|P189|N52|Datuk Harman Mohamad|UMNO|4501
2197|2008|P189|N52|Abdul Wahab Pg Abdullah|PKR|2464
2198|2008|P189|N53|Datuk Nasir Sakaran|UMNO|6083
2199|2008|P189|N53|Hassaman Sagaran|PKR|628
2200|2008|P189|N53|Mohd Sayadi Bakl|IND|0
2201|2008|P189|N53|Asmara Asmad|IND|651
2202|2008|P189|N54|Datuk Ramlee Marhaban (won  uncontested)|UMNO|0
2203|2008|P190|N55|Syed Abas Syed Ali|UMNO|5160
2204|2008|P190|N55|Abdillah|PKR|1423
2205|2008|P190|N56|Datuk Tawfiq Abu Bakar Titingan|UMNO|5409
2206|2008|P190|N56|Vun Kon Pau @ Hnery Vun|PKR|1801
2207|2008|P190|N56|Ardi Arsah @ Samsi|IND|77
2208|2008|P190|N57|Dr Samson Chin Chee Tsu|PBS|4187
2209|2008|P190|N57|Datuk Kong Hong Ming|PKR|3090
2210|2008|P190|N57|Wong Sze Phin @ Jimmy|DAP|5359
2211|2008|P191|N58|Pang Yuk Ming|SAPP|3723
2212|2008|P191|N58|Mohamad Abdullah|PAS|931
2213|2008|P191|N58|Moktar Ahmad|IND|289
2214|2008|P191|N58|Soon Ten Fook|IND|3481
2215|2008|P191|N58|Salman Nurullah|IND|286
2216|2008|P191|N59|Datuk Hamisah Samad|UMNO|5921
2217|2008|P191|N59|Dullah Hashim|PKR|1499
2218|2008|P191|N59|Mohd Jeffry Rosman|IND|178
2219|2008|P191|N60|Abdul Muis Pichu|UMNO|4711
2220|2008|P191|N60|Arsad Jamal|PKR|880
2221|2008|P191|N60|Raden Kakung|IND|392
2222|2013|P1|N1|KHAW HOCK KONG|MCA|3925
2223|2013|P1|N1|TEH SENG CHUAN|DAP|2439
2224|2013|P1|N1|YAACOB BIN MAN|IND|968
2225|2013|P1|N2|MAT RAWI BIN KASSIM|UMNO|3636
2226|2013|P1|N2|WAN KHARIZAL BIN WAN KHAZIM|PAS|3096
2227|2013|P1|N3|ASMAIZA BINTI AHMAD|UMNO|5688
2228|2013|P1|N3|WAN MOHAMAD FISHAAL BIN WAN DAUD|PKR|2812
2229|2013|P1|N4|AMMAR BIN GAZALI|PKR|1750
2230|2013|P1|N4|KHAIRI BIN HASAN|UMNO|3739
2231|2013|P1|N5|MOHD. ANUAR BIN MOHD. TAHIR|PAS|3125
2232|2013|P1|N5|SABRY BIN AHMAD|UMNO|4209
2233|2013|P2|N6|ABD JAMIL BIN KAMIS|PAS|4018
2234|2013|P2|N6|RELA BINTI AHMAD|UMNO|5255
2235|2013|P2|N7|ABDUL JAMIL BIN SAAD|UMNO|5418
2236|2013|P2|N7|AHMAD RIZAL EFFANDE BIN ZAINOL|IND|321
2237|2013|P2|N7|TUAN MARJA BINTI TUAN MAT|PKR|3494
2238|2013|P2|N8|AMEIR BIN HASSAN|IND|404
2239|2013|P2|N8|CHAN MING KAI|PKR|4263
2240|2013|P2|N8|POR CHOO CHOR @ POR CHOO CHUAN|MCA|3171
2241|2013|P2|N9|MAT BIN HASSAN|UMNO|4758
2242|2013|P2|N9|NOOR AMIN BIN AHMAD|PKR|3374
2243|2013|P2|N9|SHAARI BIN LUDIN|IND|191
2244|2013|P2|N10|AHMAD BAKRI BIN ALI|UMNO|4259
2245|2013|P2|N10|YA'AKUB BIN ABU SEMAN|PAS|3595
2246|2013|P3|N11|AZLAN BIN MAN|UMNO|4769
2247|2013|P3|N11|IDRIS BIN YAACOB|PAS|3387
2248|2013|P3|N12|AZHAR BIN AMEIR|PKR|2805
2249|2013|P3|N12|ISMAIL BIN KASIM|UMNO|5286
2250|2013|P3|N13|JAFPERI BIN OTHMAN|UMNO|4235
2251|2013|P3|N13|ZULMI BIN SABRI|PAS|3308
2252|2013|P3|N14|NURULHISHAM BIN YAAKOB|UMNO|3362
2253|2013|P3|N14|RUS'SELE BIN EIZAN|PAS|3277
2254|2013|P3|N15|FATHUL BARI BIN MAT JAHYA|UMNO|3511
2255|2013|P3|N15|MOHD SHUKRI BIN RAMLI|PAS|3632
2256|2013|P3|N15|ZAINUDIN BIN YOM|IND|222
2257|2013|P4|N1|MOHD RAWI BIN ABD HAMID|UMNO|11166
2258|2013|P4|N1|ZUBIR BIN AHMAD|PAS|5855
2259|2013|P4|N2|AHMAD BIN KASIM|PKR|3892
2260|2013|P4|N2|NOR SAIDI BIN NANYAN|UMNO|10263
2261|2013|P4|N2|ZAFLEE BIN PAKWANTEH|IND|117
2262|2013|P5|N3|ABU HASAN BIN SARIF|UMNO|10777
2263|2013|P5|N3|ISMAIL BIN W.TEH @ JAZIZ|PAS|8539
2264|2013|P5|N4|ABD. GHANI BIN AHMAD|PAS|11637
2265|2013|P5|N4|MUKHRIZ MAHATHIR|UMNO|14083
2266|2013|P6|N5|AHMAD ZAINI BIN JAPAR|UMNO|16454
2267|2013|P6|N5|NASRUL OMAR BIN CHE MANSOR|PKR|8581
2268|2013|P6|N6|AMINUDDIN BIN OMAR|UMNO|17094
2269|2013|P6|N6|ROHANI BINTI ABD MUTTALIB|PAS|14038
2270|2013|P7|N7|AHMAD BIN MAD.DAUD|IND|235
2271|2013|P7|N7|BADROL HISHAM BIN HASHIM|UMNO|10363
2272|2013|P7|N7|SYED IBRAHIM BIN SYED OMAR|PAS|8366
2273|2013|P7|N8|KAMA NORIAH BINTI IBRAHIM|UMNO|10522
2274|2013|P7|N8|ZAMRI BIN YUSUF|PKR|7562
2275|2013|P8|N9|AHMAD 'IZZAT BIN MOHAMAD SHAUK|PAS|11340
2276|2013|P8|N9|AHMAD BIN SUDIN|UMNO|12664
2277|2013|P8|N10|MOHD MUKHTAR BIN NOOR|UMNO|10480
2278|2013|P8|N10|ROMANI BIN WAN SALIN|PAS|12152
2279|2013|P8|N11|ABDUL FISOL BIN MOHD ISA|BERJASA|2061
2280|2013|P8|N11|CHEAH SOON HAI|GERAKAN|9202
2281|2013|P8|N11|TAN KOK YEW|DAP|10358
2282|2013|P9|N12|AHMAD BASHAH BIN MD HANIPAH|UMNO|11999
2283|2013|P9|N12|JAWAHAR RAJA BIN ABDUL WAHID|BERSAMA|192
2284|2013|P9|N12|MOHD EEKMAL BIN AHMAD|PKR|11104
2285|2013|P9|N13|JAYAGOPAL A/L ADAIKKALAM|IND|27
2286|2013|P9|N13|LIEW KARD SEONG|IND|39
2287|2013|P9|N13|LOH GIM HOOI|MCA|4761
2288|2013|P9|N13|TEOH BOON KOK @ TEOH KAI KOK|DAP|7387
2289|2013|P9|N14|AHMAD BIN SAAD @ YAHAYA|PAS|11453
2290|2013|P9|N14|FADZIL BIN HANAFI|IND|325
2291|2013|P9|N14|SHARIFAH MAZNAH BT. SYED KASSIM BARAKBAH|UMNO|9588
2292|2013|P10|N15|ABD SAMAT BIN CHE NOH|IND|85
2293|2013|P10|N15|AMIRUDDIN BIN HAMZAH|PAS|13822
2294|2013|P10|N15|HASHIM BIN JAHAYA|UMNO|11016
2295|2013|P10|N16|LATT SHARIMAN BIN ABDULLAH|UMNO|13969
2296|2013|P10|N16|MOHD NASIR BIN MUSTAFA|PAS|15013
2297|2013|P10|N17|NOOR HASITA BINTI MAT ISA|UMNO|11642
2298|2013|P10|N17|PHAHROLRAZI BIN MOHD ZAWAWI|PAS|15526
2299|2013|P11|N18|ABU BAKAR BIN ABDULLAH|IND|136
2300|2013|P11|N18|MOHAMED TAULAN BIN MAT RASUL|PAS|18005
2301|2013|P11|N18|NAJMUDDIN BIN DARUS|UMNO|12172
2302|2013|P11|N19|CHAREAN A/L ISEN|KITA|139
2303|2013|P11|N19|FADZIL BIN BAHARUM|PAS|11935
2304|2013|P11|N19|ROSLI BIN OMAR|IND|192
2305|2013|P11|N19|SURAYA BINTI YAACOB|UMNO|18929
2306|2013|P12|N20|SOBRI BIN AHMAD|IND|100
2307|2013|P12|N20|AZIZAN BIN ABDUL RAZAK|PAS|13294
2308|2013|P12|N20|MOHD FAZILLAH BIN MOHD ALI|UMNO|10520
2309|2013|P12|N20|ABDULLAH BIN HASHIM|IND|84
2310|2013|P12|N21|KU ABD RAHMAN BIN KU ISMAIL|UMNO|10158
2311|2013|P12|N21|MUSODDAK BIN HJ AHMAD|PAS|7860
2312|2013|P12|N22|LEONG YONG KONG|MCA|11411
2313|2013|P12|N22|SALMA BINTI ISMAIL|PKR|10115
2314|2013|P13|N23|ABU BAKAR BAKILANI BIN ABU HASSAN|PAS|8980
2315|2013|P13|N23|MOHD TAJUDIN BIN ABDULLAH|UMNO|9822
2316|2013|P13|N24|AHMAD TARMIZI BIN SULAIMAN|PAS|10258
2317|2013|P13|N24|MAHADZIR BIN ABDUL HAMID|UMNO|12318
2318|2013|P14|N25|KAMAL NASSER BIN THOW BEEK|KITA|388
2319|2013|P14|N25|KRISHNAMOORTHY A/L RAJANNAIDU|PKR|20091
2320|2013|P14|N25|MARAN A/L MUTAYA|MIC|19561
2321|2013|P14|N25|SYED OMAR BIN SYED MAHAMUD|IND|936
2322|2013|P14|N25|THIVAGARAN A/L SUPRAMANY|IND|83
