id,year,parl_code,state_code,won_party_code,won_remarks,total,total_electionday,spoilt,unreturned_ballot,race_malay,race_indian,race_chinese,race_others,race_iban,race_orgulu,race_bidayuh,race_malanau,race_muslimbumiputera,race_nonmuslimbumiputera,pooling_district,analysis
340,2004,P129,N15,UMNO,,8603,6437,157,0,81,6,12,1,0,0,0,0,0,0,"Kampong Guntor, Kampong Tapak, Kampong Sungai Jelutong, Kampong Padang Lebar, Kampong Terentang, Juasseh Tengah, Bukit Gelugor, Kampong Terusan, Pekan Juasseh, Pelangei, Kampong Beting,",
341,2004,P129,N16,UMNO,,8047,6085,171,0,93,0,5,2,0,0,0,0,0,0,"Kampong Langkap, Kampong Ulu Bendol, Terachi Utara, Kampong Talang, Kampong Gemetir, Kampong Ibol, Kampong Tengah, Tanjong Ipoh, Ampang Batu, Kampong Buyau, Sri Menanti, Kampong Pasir, Gunong Pasir,",
342,2004,P129,N17,UMNO,,7022,5299,95,0,72,4,24,0,0,0,0,0,0,0,"Temaris, Felda Kepis, Rembang Panas, Kampong Sungai Dua, Kampong Kuala Dioh, Sawah Lebar, Kampong Dioh, Tebat Kering, Senaling,",
343,2004,P129,N18,UMNO,,10531,6875,172,40,64,9,27,0,0,0,0,0,0,0,"Ampang Tinggi, Kampong Parit, Pekan Lama, Taman Bunga, Kampong Gemuroh, Kampong Jawa, Jalan Yam Tuan, Tengku Besar, Bukit Temensu, Batang Pilah, Kampong Gachong, Seri Pilah,",
344,2004,P129,N19,UMNO,,8891,6538,189,0,69,6,23,2,0,0,0,0,0,0,"Kampong Kepis, Malan Baru, Dangi, Kampong Tulang Rimau, Inas, Kampong Padang Jual, Pekan Johol, Kuala Johol, Kampong Renggoh, Ayer Mawang,",
345,2004,P130,N20,UMNO,,12212,8767,230,245,64,20,15,2,0,0,0,0,0,0,"Jijan, Kampong Kondok, Tiroi, Labu, Labu Jaya, Kampong Gadong,",
346,2004,P130,N21,GERAKAN,,11913,8400,232,232,9,22,68,1,0,0,0,0,0,0,"Bukit Kepayang, Bukit Mambau, Jalan Utam Singh, Jalan Dato Bandar Tunggal, Jalan Nunis, Jalan Labu, Bukit, Bukit Tembok,",
347,2004,P130,N22,MCA,,13293,9225,273,0,22,23,54,1,0,0,0,0,0,0,"Pekan Rahang, Pekan Rasah, Kampong Bahru Rasah, Taman Bukit Chedang, Kampong Pondok, Jalan Tok Ungku,",
348,2004,P130,N23,MCA,,13476,10053,142,3,14,21,65,1,0,0,0,0,0,0,"Mambau, Taman Sungai Ujong, Pekan Mambau, Rasah Jaya, Bukit Blossom,",
349,2004,P130,N24,GERAKAN,,14258,10378,262,0,25,18,57,0,0,0,0,0,0,0,"Taman Seremban, Kampong Bahru Rahang, Senawang Jaya, Taman Seremban Jaya,",
350,2004,P131,N25,UMNO,,14862,11190,249,60,65,19,16,1,0,0,0,0,0,0,"Paroi, Taman Satria, Taman Tuanku Jaafar, Taman Sri Seremban, Kombok,",
351,2004,P131,N26,UMNO,,12728,9534,264,19,77,11,11,1,0,0,0,0,0,0,"Ulu Pedas, Sepri, Kampong Rendah, Kampong Senama Ulu, Chembong, Pekan Pedas, Kampong Pedas Tengah, Pekan Rembau, Batu Hampar, Mampong, Pilin, Kundor,",
352,2004,P131,N27,UMNO,,13916,10123,260,4,54,23,23,0,0,0,0,0,0,0,"Rancangan Sendayan, Sendayan, Taman Kelab Tuanku, Kampong Mambau, Kampong Bemban, Kuala Sawah, Kampong Sri Lalang, Kampong Sega, Pekan Sagga, Rantau, Linsum, Kampong Siliau,",
353,2004,P131,N28,UMNO,,12031,8927,208,6,86,5,9,1,0,0,0,0,0,0,"Kampong Batu, Selemak, Kampong Bongek, Kampong Chengkau Ulu, Kampong Gadong, Kampong Kendong, Kota, Semerbok, Kampong Sawah Raja, Titian Bintangor, Astana Raja, Legong Ulu, Pekan Chengkau, Kampong Penajis, Kampong Pulau Mampat,",
354,2004,P132,N29,MCA,,10402,7515,197,0,20,22,58,0,0,0,0,0,0,0,"Tanah Merah, Kampong Pachitan, Bukit Pelandok, Sungai Nipah, Chuah,",
355,2004,P132,N30,MCA,,10128,7639,201,3,16,20,64,0,0,0,0,0,0,0,"Kampong Jimah Baru, Bandar Spring Hill, Taman Indah Jaya, Kuala Lukut, Pekan Lukut,",
356,2004,P132,N31,UMNO,,11205,8022,499,319,58,26,14,2,0,0,0,0,0,0,"Ladang Atherton, Pekan Siliau, Ladang Bradwall, Sua Betong, Taman Eastern, Kampong Bagan Pinang, Si Rusa, Telok Kemang,",
357,2004,P132,N32,UMNO,,12514,9234,220,149,52,21,26,1,0,0,0,0,0,0,"Ayer Kuning, Kampong Pengkalan Durian, Pengkalan Kempas, Ladang Sengkang, Kampong Sungai Raya, Pasir Panjang, Bandar Baru Sunggala,",
358,2004,P132,N33,MIC,,12210,8335,320,21,33,31,35,1,0,0,0,0,0,0,"Kampong Paya, Kampong Arab, Kampong Chokra, Pekan Port Dickson,",
359,2004,P133,N34,UMNO,,14169,10578,200,110,80,7,13,1,0,0,0,0,0,0,"Felda Jelai 1 & 3, Felda Jelai 2 & 4, Pasir Besar, Rkt Pasir Besar, Kampong Ladang, Pekan Gemas, Taman Sentosa, Sungai Kelamah, ",
360,2004,P133,N35,UMNO,,13057,9542,284,10,63,12,25,0,0,0,0,0,0,0,"Bukit Rokan Utara, Bukit Rokan, Kampong Rokan, Kampong Sungai Jerneh, Gemencheh Lama, Gemencheh Bahru, Kampong Bahru Gedok, Gedok, Ayer Kuning Selatan, Bukit Jalor, Kampong Tengah, Ladang Bukit Asahan,",
361,2004,P133,N36,MCA,,14345,10614,388,0,36,18,46,1,0,0,0,0,0,0,"Repah, Kampong Bahru Tampin, Tampin, Kampong Batu Belang, Keru, Tebong, Kampong Asahan, Ladang Regent, Pekan Batang Melaka,",
362,2004,P134,N1,UMNO,,8561,6827,127,3,69,2,28,1,0,0,0,0,0,0,"Tanjung Dahan, Sungai Baru Hilir, Kampung Tengah, Permatang, Kuala Sungai Baru, Paya Mengkuang, Teluk Gong, ",
363,2004,P134,N2,UMNO,,7096,5783,90,9,93,1,6,0,0,0,0,0,0,0,"Kampung Pulau, Lubok Redan, Sungai Baru Tengah, Pengkalan Balak, Tanjung Bidara, ",
364,2004,P134,N3,UMNO,,8300,6513,119,8,89,5,6,0,0,0,0,0,0,0,"Ramuan China Besar, Ramuan China Kechil, Sungai Jerneh, Sungai Siput, Felcra Ramuan China Kechil, Kampung Lekok, Ayer Limau, ",
365,2004,P134,N4,UMNO,,7677,5962,129,57,72,6,21,1,0,0,0,0,0,0,"Pekan Masjid Tanah, Durian Daun, Sungai Baru Hulu, Lendu, ",
366,2004,P134,N5,UMNO,,7371,5639,106,9,78,6,15,1,0,0,0,0,0,0,"Berisu, Taboh Naning, Simpang Empat, Sungai Buloh, Batang Melekek, Rantau Panjang, Ayer Paabas, ",
367,2004,P135,N6,UMNO,,10215,8011,255,36,61,14,25,0,0,0,0,0,0,0,"Pekan Alor Gajah, Kelemak, Jelatang, Kampung Tebat, Sungai Petai, Pekan Rembia, Jeram,",
368,2004,P135,N7,UMNO,,10795,7755,227,10,53,12,35,0,0,0,0,0,0,0,"Bukit Sebang, Pekan Pulau Sebang, Kuala Ina, Arongan, Tanjung Rimau, Padang Sebang, Pegoh, Paya Datuk, Ganun, Gadek,",
369,2004,P135,N8,MCA,,9889,7334,202,16,38,15,46,1,0,0,0,0,0,0,"Felda Hutan Percha, Tebong, Kemuning, Machap Baru, Solok Menggong, Melaka Pindah, Machap Umbor, Ayer Pasir,",
370,2004,P135,N9,UMNO,,8023,6521,189,19,68,9,24,0,0,0,0,0,0,0,"Parit Melana, Belimbing Dalam, Bukit Tambun, Pekan Durian Tunggal, Gangsa,",
371,2004,P135,N10,MIC,,12666,9583,236,24,58,12,29,1,0,0,0,0,0,0,"Simpang Tebong, Batang Melaka, Jus, Pekan Nyalas, Pekan Selandar, Bukit Senggeh, Felda Bukit Senggeh, Pondok Batang, Pekan Asahan, Ladang Bukit Asahan,",
372,2004,P136,N11,UMNO,,13268,10756,122,634,83,2,7,7,0,0,0,0,0,0,"Bukit Terendak, Paya Rumput Jaya, Pekan Sungai Udang,",
373,2004,P136,N12,UMNO,,11292,8915,135,6,78,1,20,0,0,0,0,0,0,0,"Paya Luboh, Pantai Kundor, Pengkalan Perigi, Kampung Gelam, Sungai Lereh, Pengkalan Lanjut,",
374,2004,P136,N13,UMNO,,13335,10796,192,8,56,9,34,1,0,0,0,0,0,0,"Bertam Hulu, Hujong Padang, Kerubong, Cheng, Tanjung Minyak, Bertam,",
375,2004,P136,N14,MCA,,15396,11959,760,23,54,3,42,0,0,0,0,0,0,0,"Ayer Salak, Seberang Gajah, Bukit Rambai, Kampung Pinang, Kelebang Besar, Kelebang Kechil, ",
376,2004,P137,N15,GERAKAN,,20702,16337,539,28,48,5,46,1,0,0,0,0,0,0,"Malim Jaya, Pasir Puteh, Peringgit, Pengkalan Batu, Peringgit Jaya, Bukit Palah, Bukit Piatu, ",
377,2004,P137,N16,MCA,,20779,16587,476,62,34,9,57,1,0,0,0,0,0,0,"Melaka Baru, Sungai Putat, Perumahan Bukit Beruang, Ayer Keroh Heights, Kampung Ayer Keroh, Kampung Tun Razak, ",
378,2004,P137,N17,UMNO,,13509,10731,207,37,55,5,40,1,0,0,0,0,0,0,"Bukit Beruang, Bukit Katil, Paya Ikan, Bukit Baru, Bukit Baru Dalam, Padang Jambu, ",
379,2004,P137,N18,UMNO,,11044,9378,181,19,84,5,11,0,0,0,0,0,0,0,"Pengkalan Minyak, Tambak Paya, Tiang Dua, Paya Dalam, Bukit Lintang, Kandang, ",
380,2004,P138,N19,MCA,,15502,12231,240,8,29,3,67,0,0,0,0,0,0,0,"Bakar Batu, Kesidang, Limbongan, Kampong Padang, Kampung Enam, Tengkera Pantai, ",
381,2004,P138,N20,DAP,,18957,14461,215,10,11,4,85,0,0,0,0,0,0,0,"Kenanga, Pengkalan Rama Pantai, Kampung Morten, Kubu, Kota Laksamana, Kampung Hulu, Kampung Belanda, ",
382,2004,P138,N21,MCA,,14824,11390,250,15,45,4,50,0,0,0,0,0,0,0,"Bukit Serindit, Bukit Gedong, Semabok, Seri Duyong, ",
383,2004,P138,N22,DAP,,19392,14442,252,180,13,6,77,5,0,0,0,0,0,0,"Bunga Raya, Bukit China, Bandar Kaba, Bandar Hilir Tengah, Melaka Raya, Bandar Hilir, Ujong Pasir Pantai, ",
384,2004,P138,N23,UMNO,,14106,11543,249,5,69,2,28,1,0,0,0,0,0,0,"Ujong Pasir Darat, Padang Temu, Permatang Pasir, Telok Mas, Pernu, ",
385,2004,P139,N24,MCA,,12556,9751,429,68,58,14,28,0,0,0,0,0,0,0,"Pondok Kempas, Ayer Kangkong, Kesang Tua, Ayer Barok, Taman Maju, Bemban, Tehel, ",
