id|negeri_code|parliaments_code|name
210|sw|P210|Kanowit
211|sw|P211|Lanang
212|sw|P212|Sibu
213|sw|P213|Mukah
214|sw|P214|Selangau
215|sw|P215|Kapit
216|sw|P216|Hulu Rajang
217|sw|P217|Bintulu
218|sw|P218|Sibuti
219|sw|P219|Miri
220|sw|P220|Baram
221|sw|P221|Limbang
222|sw|P222|Lawas
