id,year,parl_code,name,party_code,votes
893,2008,P205,Mohd Yahya Abdullah,PKR,3764
894,2008,P206,Norah Tun Abdul Rahman (Walkover),PBB,0
895,2008,P207,BN-PBB walkover,PBB,0
896,2008,P208,Ding Kuong Hiing,SUPP,10588
897,2008,P208,Dr wong Hua Seh,DAP,10537
898,2008,P208,Lau Kain Chai,IND,116
899,2008,P208,Kung Chin Chin,IND,545
900,2008,P208,Ngu Tieng Hai,IND,105
901,2008,P209,Datuk Joseph Salang Gandum,PRS,10351
902,2008,P209,Ambrose Labang Jamba,PKR,2767
903,2008,P210,Ago Dagang (Walkover),PRS,0
904,2008,P211,Datuk Tiong Thai King,SUPP,19476
905,2008,P211,Wong Kee Woan,DAP,14612
906,2008,P212,Datuk Robert Lau Hoi Chew,SUPP,19138
907,2008,P212,Wong Ho Leng,DAP,15903
908,2008,P212,Lim Chin Chuang,PKR,812
909,2008,P213,Datuk Seri Muhd Leo Michael Toyad,PBB,10090
910,2008,P213,Hai Merawin,IND,3792
911,2008,P214,Joseph Entulu Belaun (Walkover),PRS,0
912,2008,P215,Alexander Nanta Linggi (walkover),PBB,0
913,2008,P216,Abit Joo @ Billy Abit Joo,PRS,6590
914,2008,P216,George Lagong,IND,4426
915,2008,P217,Datuk Seri Tiong King Sing,SPDP,23628
916,2008,P217,Lim Su Kien,DAP,8663
917,2008,P218,Ahmad Lai Bujang,PBB,8238
918,2008,P218,Dr Teo Yu Keng,PKR,4590
919,2008,P219,Datuk Peter Chin Fah Kui,SUPP,19354
920,2008,P219,Fong Pau Teck,DAP,14138
921,2008,P220,Datuk Jacob Dungau Sagan,SPDP,7996
922,2008,P220,Kebing Wan,SNAP,3952
923,2008,P221,Hasbi Habibollah,PBB,6427
924,2008,P221,Lau Liat Koi,PKR,5751
925,2008,P222,Henry Sum Agong (walkover),PBB,8526
944,2013,P1,AZAMHARI BIN MOHAMOOD,PAS,14047
945,2013,P1,ZAHIDI BIN ZAINUL ABIDIN,UMNO,21473
946,2013,P2,BAHARUDDIN BIN AHMAD,PAS,19306
947,2013,P2,SHAHARUDDIN BIN ISMAIL,UMNO,23343
948,2013,P3,HARON BIN DIN,PAS,18005
949,2013,P3,SHAHIDAN BIN KASSIM,UMNO,19376
950,2013,P3,ZAINUDIN BIN YOM,IND,406
951,2013,P4,NAWAWI BIN AHMAD,UMNO,21407
952,2013,P4,AHMAD BIN ABDULLAH,PKR,9546
953,2013,P4,MARINA BINTI HUSSEIN,IND,180
954,2013,P5,ISMAIL BIN SALLEH,PAS,20891
955,2013,P5,OTHMAN BIN AZIZ,UMNO,24161
956,2013,P6,MOHD JAMAL BIN NASIR,PAS,22890
957,2013,P6,MOHD JOHARI BIN BAHARUM,UMNO,33334
958,2013,P7,MOHD NASIR BIN ZAKARIA,PAS,16212
959,2013,P7,MUHAMAD BAZLI BIN ABDULLAH,IND,243
960,2013,P7,MAHDZIR BIN KHALID,UMNO,20654
961,2013,P8,DATO' MAHFUZ BIN OMAR,PAS,36198
962,2013,P8,SHAHLAN BIN ISMAIL,UMNO,32263
963,2013,P9,CHOR CHEE HEUNG,MCA,25491
964,2013,P9,GOOI HSIAO - LEUNG,PKR,27364
965,2013,P9,ABDUL FISOL BIN MOHD ISA,BERJASA,3530
966,2013,P9,JAWAHAR RAJA BIN ABDUL WAHID,BERSAMA,257
967,2013,P10,AZMAN BIN ISMAIL,PKR,42870
968,2013,P10,ZAKI ZAMANI BIN ABD RASHID,UMNO,37923
969,2013,P11,OTHMAN BIN ABDUL,UMNO,32165
970,2013,P11,MOHAMAD BIN SABU,PAS,29527
971,2013,P12,JAMIL KHIR BIN BAHAROM,UMNO,32429
972,2013,P12,MOHD FIRDAUS BIN JAAFAR,PAS,31233
973,2013,P13,MANSOR BIN ABD RAHMAN,UMNO,22084
974,2013,P13,CHE UDA BIN CHE NIK,PAS,19277
975,2013,P14,ISMAIL BIN DAUT,UMNO,38538
976,2013,P14,NOR AZRINA BINTI SURIP,PKR,34416
977,2013,P15,SYAMSYUL ANUAR BIN CHE MEY @ ISMAIL,UMNO,34646
978,2013,P15,ONG WEI SIN,IND,772
979,2013,P15,SUHAIMI BIN HASHIM,KITA,200
980,2013,P15,JOHARI BIN ABDUL,PKR,44194
981,2013,P16,NAJMI BIN HJ AHMAD,PAS,38319
982,2013,P16,ABDUL AZEEZ BIN ABDUL RAHIM,UMNO,43504
983,2013,P17,HAMIDI BIN ABU HASSAN,BERJASA,2630
984,2013,P17,OTHMAN BIN WAWI,IND,279
985,2013,P17,GOBALAKRISHNAN A/L NAGAPAN,IND,390
986,2013,P17,N SURENDRAN A/L K NAGARAJAN,PKR,34151
987,2013,P17,HENG SEAI KIE,MCA,25714
988,2013,P18,SAIFUDDIN NASUTION BIN ISMAIL,PKR,24911
989,2013,P18,ABD. AZIZ BIN SHEIKH FADZIR,UMNO,26782
990,2013,P19,KAMARUDIN BIN JAFFAR,PAS,46151
991,2013,P19,MANSOR BIN SALLEH,UMNO,35527
992,2013,P20,IZANI BIN HUSIN,PAS,34617
993,2013,P20,DALI BIN HUSIN,UMNO,19497
994,2013,P21,MOHAMAD FATMI BIN CHE SALLEH,UMNO,24650
995,2013,P21,TAKIYUDDIN BIN HASSAN,PAS,40620
996,2013,P21,MOHD ZAKIMAN BIN ABU BAKAR,IND,148
997,2013,P22,IBRAHIM BIN ALI,IND,25384
998,2013,P22,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,PAS,33431
999,2013,P23,GHAZALI BIN ISMAIL,UMNO,17448
1000,2013,P23,SITI ZAILAH BINTI MOHD YUSOFF,PAS,23724
1001,2013,P24,AHMAD BAIHAKI BIN ATIQULLAH,PAS,35510
1002,2013,P24,ANUAR BIN SAFIAN,UMNO,18769
1003,2013,P25,AHMAD MARZUK BIN SHAARY,PAS,35419
1004,2013,P25,AWANG ADEK BIN HUSSIN,UMNO,35218
1005,2013,P26,ANNUAR BIN MUSA,UMNO,26912
1006,2013,P26,AB AZIZ BIN AB KADIR,PKR,25938
1007,2013,P27,NIK MAHMOOD BIN NIK HASSAN,PKR,22278
1008,2013,P27,AHMAD FIZAL BIN CHE HARUN,IND,213
1009,2013,P27,IKMAL HISHAM BIN ABDUL AZIZ,UMNO,26505
1010,2013,P28,TUAN MUSTAFFA BIN TUAN MAT,UMNO,31691
1011,2013,P28,NIK MAZIAN BIN NIK MOHAMAD,PAS,33579
1012,2013,P29,AHMAD JAZLAN BIN YAAKUB,UMNO,25660
1013,2013,P29,WAN ZAWAWI BIN WAN ISMAIL,PKR,24855
1014,2013,P30,MUSTAPA BIN MOHAMED,UMNO,21223
1015,2013,P30,MOHD APANDI BIN MOHAMAD,PAS,15954
1016,2013,P31,TUAN AZIZ BIN TUAN HAMAT @ TUAN MAT,UMNO,25876
1017,2013,P31,MOHD HATTA BIN MD RAMLI,PAS,27919
1018,2013,P32,TENGKU RAZALEIGH BIN TENGKU MOHD HAMZAH,UMNO,21367
1019,2013,P32,WAN ABD RAHIM BIN WAN ABDULLAH,PAS,12954
1020,2013,P33,IDRIS BIN JUSOH,UMNO,35232
1021,2013,P33,RIDUAN BIN MOHAMAD NOR,PAS,26890
1022,2013,P34,CHE MOHAMAD ZULKIFLY BIN JUSOH,UMNO,33198
1023,2013,P34,OMAR BIN SIDEK,PAS,25255
1024,2013,P35,MOHD NASIR B. IBRAHIM @ IBRAHIM FIKRI,UMNO,33251
1025,2013,P35,MOHD KHAIRUDDIN BIN AMAN RAZALI,PAS,33861
1026,2013,P36,MOHD ZUBIR BIN EMBONG,UMNO,35043
1027,2013,P36,RAJA KAMARUL BAHRIN SHAH,PAS,45828
1028,2013,P36,MAIMUN BINTI YUSUF,IND,182
1029,2013,P37,YAHYA BIN KHATIB MOHAMAD,UMNO,37860
1030,2013,P37,ABDUL HADI BIN AWANG,PAS,42984
1031,2013,P38,KAMARUZAMAN BIN ABDULLAH,PAS,23727
1032,2013,P38,JAILANI BIN JOHARI,UMNO,31940
1033,2013,P39,ROSLI BIN MAT HASSAN,UMNO,31406
1034,2013,P39,WAN HASSAN BIN MOHD RAMLI,PAS,35348
1035,2013,P39,MAZLAN BIN HARUN,IND,384
1036,2013,P40,AHD SHABERY BIN CHEEK,UMNO,45525
1037,2013,P40,KAMARUDIN BIN CHIK,PKR,33219
1038,2013,P41,REEZAL MERICAN BIB NAINA MERICAN,UMNO,25128
1039,2013,P41,AFNAN HAMIMI BIN TAIB AZAMUDDEN,PAS,20952
1040,2013,P42,ABDUL RAHMAN BIN B MAIDIN,PAS,21351
1041,2013,P42,MOHD SHARIFF BIN OMAR,IND,1590
1042,2013,P42,SHABUDIN BIN YAHAYA,UMNO,24393
1043,2013,P43,CHUA TEIK SIANG,MCA,12307
1044,2013,P43,LIM GUAN ENG,DAP,46466
1045,2013,P43,LIM KIM CHU,PCM,328
1046,2013,P44,ABDULLAH ZAWAWI BIN SAMSUDIN,IND,201
1047,2013,P44,ANWAR BIN IBRAHIM,PKR,37090
1048,2013,P44,MAZLAN BIN ISMAIL,UMNO,25369
1049,2013,P45,GUI GUAT LYE,MCA,12814
1050,2013,P45,SIM CHEE KEONG,DAP,55877
1051,2013,P46,GOBALAKRISHNAN A/L NARAYANASAMY,MIC,10674
1052,2013,P46,HUAN CHENG GUAN,PCM,1801
1053,2013,P46,KASTHURIRAANI A/P PATTO,DAP,36636
1054,2013,P46,MOHAN A/L APPAROO,IND,305
1055,2013,P47,MANSOR BIN OTHMAN,PKR,30003
1056,2013,P47,TENG KOK PHENG,IND,297
1057,2013,P47,ZAINAL ABIDIN BIN OSMAN,UMNO,21405
1058,2013,P48,TEH LEONG MENG,GERAKAN,12813
